,id,title,release_date,vote_average,vote_count
0,238,The Godfather,1972-03-14,8.7,17965
1,278,The Shawshank Redemption,1994-09-23,8.7,23805
2,240,The Godfather Part II,1974-12-20,8.6,10843
3,772071,Cuando Sea Joven,2022-09-14,8.5,236
4,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
5,424,Schindler's List,1993-12-15,8.6,14078
6,129,Spirited Away,2001-07-20,8.5,14314
7,389,12 Angry Men,1957-04-10,8.5,7280
8,372058,Your Name.,2016-08-26,8.5,9854
9,496243,Parasite,2019-05-30,8.5,15751
10,155,The Dark Knight,2008-07-14,8.5,29734
11,497,The Green Mile,1999-12-10,8.5,15416
12,680,Pulp Fiction,1994-09-10,8.5,25189
13,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
14,13,Forrest Gump,1994-06-23,8.5,24678
15,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
16,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
17,769,GoodFellas,1990-09-12,8.5,11263
18,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
19,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
20,238,The Godfather,1972-03-14,8.7,17965
21,278,The Shawshank Redemption,1994-09-23,8.7,23805
22,240,The Godfather Part II,1974-12-20,8.6,10843
23,772071,Cuando Sea Joven,2022-09-14,8.5,236
24,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
25,424,Schindler's List,1993-12-15,8.6,14078
26,129,Spirited Away,2001-07-20,8.5,14314
27,389,12 Angry Men,1957-04-10,8.5,7280
28,372058,Your Name.,2016-08-26,8.5,9854
29,496243,Parasite,2019-05-30,8.5,15751
30,155,The Dark Knight,2008-07-14,8.5,29734
31,497,The Green Mile,1999-12-10,8.5,15416
32,680,Pulp Fiction,1994-09-10,8.5,25189
33,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
34,13,Forrest Gump,1994-06-23,8.5,24678
35,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
36,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
37,769,GoodFellas,1990-09-12,8.5,11263
38,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
39,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
40,238,The Godfather,1972-03-14,8.7,17965
41,278,The Shawshank Redemption,1994-09-23,8.7,23805
42,240,The Godfather Part II,1974-12-20,8.6,10843
43,772071,Cuando Sea Joven,2022-09-14,8.5,236
44,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
45,424,Schindler's List,1993-12-15,8.6,14078
46,129,Spirited Away,2001-07-20,8.5,14314
47,389,12 Angry Men,1957-04-10,8.5,7280
48,372058,Your Name.,2016-08-26,8.5,9854
49,496243,Parasite,2019-05-30,8.5,15751
50,155,The Dark Knight,2008-07-14,8.5,29734
51,497,The Green Mile,1999-12-10,8.5,15416
52,680,Pulp Fiction,1994-09-10,8.5,25189
53,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
54,13,Forrest Gump,1994-06-23,8.5,24678
55,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
56,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
57,769,GoodFellas,1990-09-12,8.5,11263
58,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
59,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
60,238,The Godfather,1972-03-14,8.7,17965
61,278,The Shawshank Redemption,1994-09-23,8.7,23805
62,240,The Godfather Part II,1974-12-20,8.6,10843
63,772071,Cuando Sea Joven,2022-09-14,8.5,236
64,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
65,424,Schindler's List,1993-12-15,8.6,14078
66,129,Spirited Away,2001-07-20,8.5,14314
67,389,12 Angry Men,1957-04-10,8.5,7280
68,372058,Your Name.,2016-08-26,8.5,9854
69,496243,Parasite,2019-05-30,8.5,15751
70,155,The Dark Knight,2008-07-14,8.5,29734
71,497,The Green Mile,1999-12-10,8.5,15416
72,680,Pulp Fiction,1994-09-10,8.5,25189
73,429,"The Good, the Bad and the Ugly",1966-12-23,8.5,7403
74,13,Forrest Gump,1994-06-23,8.5,24678
75,122,The Lord of the Rings: The Return of the King,2003-12-01,8.5,21605
76,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.5,327
77,769,GoodFellas,1990-09-12,8.5,11263
78,372754,Dou kyu sei – Classmates,2016-02-20,8.5,306
79,704264,Primal: Tales of Savagery,2019-11-21,8.5,264
80,238,The Godfather,1972-03-14,8.7,17965
81,278,The Shawshank Redemption,1994-09-23,8.7,23805
82,240,The Godfather Part II,1974-12-20,8.6,10843
83,772071,Cuando Sea Joven,2022-09-14,8.5,236
84,19404,Dilwale Dulhania Le Jayenge,1995-10-19,8.6,4132
85,424,Schindler's List,1993-12-15,8.6,14078
86,129,Spirited Away,2001-07-20,8.5,14314
87,389,12 Angry Men,1957-04-10,8.5,7280
